State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Alabama,2728.00,2730.00,2786.00,2809.00,2835.00,2839.00,3417.00,4010.00,4088.00,4151.15,4256.51,4314.23
Alaska,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,1393.00,1522.00,1660.00,1686.00,1821.00,1918.00,1979.00,2151.00,2204.00,2333.70,2430.35,2481.43
Arkansas,1874.00,1980.00,2095.00,2138.00,2296.00,2378.00,2525.00,2663.00,2794.00,3006.07,3176.63,3402.64
California,808.00,810.00,724.00,633.00,634.00,817.00,819.00,1119.00,1419.00,1424.91,1428.07,1423.38
Colorado,2218.00,2388.00,2376.00,2459.00,2550.00,2768.00,3122.00,3394.00,3577.00,3744.87,3900.06,4076.85
Connecticut,2406.00,2536.00,2672.00,2828.00,2984.00,3200.00,3408.00,3490.00,3598.00,3786.00,3866.00,4048.19
Delaware,2028.00,2166.00,2310.00,2422.00,2631.00,2763.00,2889.00,3086.00,3113.00,3274.00,3471.00,3568.00
District of Columbia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,1780.00,1919.00,2031.00,2031.00,2292.00,2553.00,2773.00,2985.00,3091.00,3141.32,3175.73,3232.32
Georgia,2075.00,2208.00,2236.00,2120.00,2104.00,2596.00,2800.00,3125.00,3315.00,3426.86,3599.41,3646.59
Hawaii,1458.00,1525.00,1732.00,1946.00,2192.00,2443.00,2710.00,2965.00,3097.00,3252.18,3492.23,3663.81
Idaho,1798.00,1876.00,1979.00,2092.00,2232.00,2418.00,2554.00,2791.00,3114.00,3697.17,3749.17,3871.62
Illinois,1990.00,2147.00,2301.00,2440.00,2597.00,2729.00,3010.00,3152.00,3249.00,3393.41,3543.74,3750.80
Indiana,2584.00,2728.00,2882.00,3003.00,3137.00,3279.00,3441.00,3538.00,3660.00,3808.99,4178.09,4323.87
Iowa,2920.00,3090.00,3202.00,3331.00,3512.00,3701.00,3912.00,4111.00,4251.00,4387.45,4523.37,4751.02
Kansas,1767.00,1848.00,1887.00,1928.00,1984.00,2121.00,2281.00,2362.00,2517.00,2543.60,2678.86,2793.48
Kentucky,2770.00,3008.00,3270.00,3450.00,3684.00,3759.00,3900.00,4051.00,4201.00,4321.58,4460.98,4653.09
Louisiana,1738.00,1841.00,1875.00,1915.00,1947.00,2049.00,2212.00,2701.00,3001.00,3380.66,3624.61,3969.68
Maine,2595.00,2812.00,2926.00,3120.00,3156.00,3236.00,3260.00,3329.00,3333.00,3397.98,3490.17,3490.87
Maryland,2978.00,3093.00,3122.00,3252.00,3329.00,3394.00,3567.00,3708.00,3886.00,3991.86,4134.53,4274.28
Massachusetts,3361.00,3498.00,3579.00,3694.00,3925.00,4291.00,4594.00,4817.00,5114.00,5142.22,5308.64,5616.28
Michigan,1995.00,2126.00,2231.00,2329.00,2455.00,2527.00,2694.00,2861.00,3042.00,3224.81,3377.64,3510.35
Minnesota,3795.00,4013.00,4264.00,4446.00,4562.00,4739.00,4939.00,5161.00,5369.00,5373.11,5382.28,5390.58
Mississippi,1546.00,1668.00,1693.00,1709.00,1770.00,1855.00,2119.00,2205.00,2265.00,2392.83,2529.28,2585.07
Missouri,2152.00,2279.00,2391.00,2505.00,2586.00,2580.00,2580.00,2736.00,2888.00,2985.91,3077.86,3194.37
Montana,2366.00,2470.00,2572.00,2770.00,2904.00,2978.00,3029.00,3054.00,3094.00,3169.57,3173.67,3249.87
Nebraska,1763.00,1866.00,2013.00,2155.00,2240.00,2294.00,2412.00,2491.00,2601.00,2675.93,2763.51,2886.59
Nevada,1590.00,1643.00,1695.00,1763.00,1921.00,2022.00,2243.00,2513.00,2700.00,2700.00,2700.00,2805.00
New Hampshire,4680.00,5184.00,5234.00,5609.00,5607.00,5892.00,6271.00,6724.00,6736.00,6734.68,6512.08,6512.08
New Jersey,2802.00,2947.00,3188.00,3387.00,3550.00,3794.00,3922.00,4111.00,4160.00,4265.97,4440.51,4596.35
